probRedL	 ambLevelL	 exanteL	 probRedR	 ambLevelR	 exanteR	 outcomeWinL	 outcomeLossL	 outcomeWinR	 outcomeLossR	 payDownUpL	 payDownUpR	 shiftLR	 trialCode
0.25	0.5	1	0.5	0	0	30	0	10	0	2	2	1	161
0.13	0.75	0	0.5	0	0	30	0	10	0	2	2	2	78
0.62	0.75	0	0.5	0	0	0	50	0	10	1	2	2	276
0.38	0.75	1	0.5	0	0	15	0	10	0	2	1	2	278
0.62	0.25	1	0.5	0	0	0	15	0	10	1	2	1	231
0.87	0	0	0.5	0	0	0	15	0	10	2	1	2	4
0.62	0.75	0	0.5	0	0	0	15	0	10	1	2	1	267
0.13	0	0	0.5	0	0	15	0	10	0	1	2	2	2
0.62	0.25	0	0.5	0	0	0	15	0	10	1	1	1	219
0.25	0.5	0	0.5	0	0	50	0	10	0	1	1	2	154
0.75	0	0	0.5	0	0	0	30	0	10	1	2	1	103
0.25	0.75	0	0.5	0	0	15	0	10	0	1	1	2	170
0.38	0.5	1	0.5	0	0	30	0	10	0	2	1	2	258
0.25	0.5	1	0.5	0	0	15	0	10	0	1	1	2	158
0.62	0.5	0	0.5	0	0	0	30	0	10	1	1	1	247
0.62	0.25	0	0.5	0	0	0	30	0	10	2	2	1	223
0.87	0	0	0.5	0	0	0	50	0	10	1	2	1	11
0.62	0.5	1	0.5	0	0	0	30	0	10	1	2	1	259
0.75	0.75	1	0.5	0	0	0	30	0	10	2	2	1	187
0.62	0	0	0.5	0	0	0	15	0	10	2	2	2	196
0.25	0.75	1	0.5	0	0	30	0	10	0	2	1	1	185
0.25	0.5	0	0.5	0	0	15	0	10	0	2	2	2	146
0.13	0.75	0	0.5	0	0	50	0	10	0	1	1	1	81
0.13	0.75	1	0.5	0	0	30	0	10	0	2	2	2	90
0.62	0.75	1	0.5	0	0	0	15	0	10	2	2	1	279
0.25	0.75	1	0.5	0	0	15	0	10	0	2	2	2	182
0.38	0.25	0	0.5	0	0	50	0	10	0	2	1	2	226
0.25	0	0	0.5	0	0	50	0	10	0	2	2	2	106
0.38	0.75	0	0.5	0	0	30	0	10	0	2	2	1	269
0.38	0.25	0	0.5	0	0	30	0	10	0	2	1	2	222
0.62	0.25	0	0.5	0	0	0	50	0	10	2	2	1	227
0.38	0.5	1	0.5	0	0	15	0	10	0	1	2	2	254
